UTC_Time,Operation,Coin,Change,Wallet
2021-07-12 00:26:41,TRANSFER,ADA,51.00000000,DAEDALUS
2021-07-12 00:26:41,FEE,ADA,-1,DAEDALUS
2021-07-12 00:34:41,TRANSFER,ADA,297.73113500,DAEDALUS
2021-07-12 00:34:41,FEE,ADA,-1,DAEDALUS
2021-08-18 00:42:41,TRANSFER,ADA,120.14000000,DAEDALUS
2021-08-18 00:42:41,FEE,ADA,-1,DAEDALUS
2021-08-20 14:34:42,TRANSFER,ADA,50.93000100,DAEDALUS
2021-08-20 14:34:42,FEE,ADA,-1,DAEDALUS
2021-08-24 04:20:42,TRANSFER,ADA,87.76000000,DAEDALUS
2021-08-24 04:20:42,FEE,ADA,-1,DAEDALUS
2021-10-03 19:21:07,TRANSFER,BTC,0.01621201,TREZOR
2021-10-03 19:21:07,FEE,BTC,-0.0005,TREZOR
2021-10-03 18:48:42,TRANSFER,ETH,0.23632031,TREZOR
2021-10-03 18:48:42,FEE,ETH,-0.005,TREZOR
2021-10-31 19:21:07,TRANSFER,BTC,0.00449313,TREZOR
2021-10-31 19:21:07,FEE,BTC,0.0005,TREZOR
2021-10-28 19:45:27,TRANSFER,ADA,269.900000,DAEDALUS
2021-10-28 19:45:27,FEE,ADA,-1,DAEDALUS
-,-,-,-,-,-
2021-08-31 01:15:59,FEE,ADA,-0.175137,DAEDALUS
2021-06-16 00:47:43,INTEREST,ADA,0.01803621,DAEDALUS
2021-07-29 18:00:00,INTEREST,ADA,0.22427,DAEDALUS
2021-08-03 18:00:00,INTEREST,ADA,0.22427,DAEDALUS
2021-08-08 18:00:00,INTEREST,ADA,0.22427,DAEDALUS
2021-08-13 18:00:00,INTEREST,ADA,0.18876,DAEDALUS
2021-08-18 18:00:00,INTEREST,ADA,0.228169,DAEDALUS
2021-08-23 18:00:00,INTEREST,ADA,0.178923,DAEDALUS
2021-08-28 18:00:00,INTEREST,ADA,0.195656,DAEDALUS
2021-09-17 18:00:00,INTEREST,ADA,0.295434,DAEDALUS
2021-09-22 18:00:00,INTEREST,ADA,0.485822,DAEDALUS
2021-09-27 18:00:00,INTEREST,ADA,0.626533,DAEDALUS
2021-10-02 18:00:00,INTEREST,ADA,0.381850,DAEDALUS
2021-10-07 18:00:00,INTEREST,ADA,0.516853,DAEDALUS
2021-10-12 18:00:00,INTEREST,ADA,0.363540,DAEDALUS
2021-10-17 18:00:00,INTEREST,ADA,0.523031,DAEDALUS
2021-10-22 18:00:00,INTEREST,ADA,0.508531,DAEDALUS
2021-10-27 18:00:00,INTEREST,ADA,0.552359,DAEDALUS
2021-11-01 18:00:00,INTEREST,ADA,0.185937,DAEDALUS
2021-11-06 18:00:00,INTEREST,ADA,0.438748,DAEDALUS
